Document|Id|Text|Username|Date|Hashtags|Mentions|Likes|Retweets|Url|Clean_text
doc_1886|1575887407467167745|#HurricaneIan’s third U.S. landfall is imminent. Latest: https://t.co/8iWZG8B2Bw #scwx #wxtwitter #FOXWeather https://t.co/PdKIND9GAb|weatherbarker|Fri Sep 30 16:36:51 +0000 2022|['HurricaneIan', 'scwx', 'wxtwitter', 'FOXWeather']||0|0|https://twitter.com/weatherbarker/status/1575887407467167745|['hurricaneian', 'third', 'landfal', 'immin', 'latest', 'scwx', 'wxtwitter', 'foxweath']
doc_1887|1575887385795125250|#God has had it up to HERE with #Sin. God is mad as #Hell and He’s not gonna take it anymore. The hour of His #Wrath has come. @JoelOsteen @JosephPrince @JoyceMeyer @TBN @stevenfurtick @Paula_White @Benny_Hinn won’t tell U this about #hurricaneian #Ian but @EvangelistMDyal does! https://t.co/Egt1Bvwqrr|PastorMikeDyal|Fri Sep 30 16:36:46 +0000 2022|['God', 'Sin', 'Hell', 'Wrath', 'hurricaneian', 'Ian']|['JoelOsteen', 'JosephPrince', 'JoyceMeyer', 'TBN', 'stevenfurtick', 'Paula_White', 'Benny_Hinn', 'EvangelistMDyal']|0|0|https://twitter.com/PastorMikeDyal/status/1575887385795125250|['god', 'sin', 'god', 'mad', 'hell', 'gon', 'na', 'take', 'anymor', 'hour', 'wrath', 'come', 'joelosteen', 'josephprinc', 'joycemey', 'tbn', 'stevenfurtick', 'tell', 'u', 'hurricaneian', 'ian', 'evangelistmdy']
doc_1888|1575887381320065024|#HurricaneIan continues it's wrath .. thinking of everyone in the Carolinas now as well. https://t.co/hiQTWBFOFv|LaurenWFTS|Fri Sep 30 16:36:44 +0000 2022|['HurricaneIan']||11|1|https://twitter.com/LaurenWFTS/status/1575887381320065024|['hurricaneian', 'continu', 'wrath', 'think', 'everyon', 'carolina', 'well']
doc_1889|1575887254714974208|Some terrible damage in Orlando. Take care people #hurricaneian https://t.co/mkLt5RExXe|mikejamesbyrne|Fri Sep 30 16:36:14 +0000 2022|['hurricaneian']||0|0|https://twitter.com/mikejamesbyrne/status/1575887254714974208|['terribl', 'damag', 'orlando', 'take', 'care', 'peopl', 'hurricaneian']
doc_1890|1575887249610260481|Watch storm come ashore in South Carolina https://t.co/4oNHOqbR7W #goingtocarolinainmymind #scwx #hurricaneian|drwesterfield|Fri Sep 30 16:36:13 +0000 2022|['goingtocarolinainmymind', 'scwx', 'hurricaneian']||0|0|https://twitter.com/drwesterfield/status/1575887249610260481|['watch', 'storm', 'come', 'ashor', 'south', 'carolina', 'goingtocarolinainmymind', 'scwx', 'hurricaneian']
doc_1891|1575887237426053120|"Hurricane Ian: Florida Weather Reporter Kyla Galer Wraps Mic In Condom To Protect It During Hurricane Coverage (Watch Video) 
@kylagaler 
#HurricaneIan #KylaGaler #Florida #Condom 

https://t.co/fXKcmZSa79"|latestly|Fri Sep 30 16:36:10 +0000 2022|['HurricaneIan', 'KylaGaler', 'Florida', 'Condom']|['kylagaler']|2|0|https://twitter.com/latestly/status/1575887237426053120|['hurrican', 'ian', 'florida', 'weather', 'report', 'kyla', 'galer', 'wrap', 'mic', 'condom', 'protect', 'hurrican', 'coverag', 'watch', 'video', 'kylagal', 'hurricaneian', 'kylagal', 'florida', 'condom']
doc_1892|1575887234502660096|#BREAKING: WeatherMAX Network forecasters are now saying #hurricaneian is expected to make landfall between 12:40-12:55 PM ET just right near Georgetown, South Carolina. THIS IS NOT OFFICAL NEWS, BUT THIS IS WHAT WE ARE FORECASTING! Watch here: https://t.co/JtI4v3b9bu|WeatherMAXTV|Fri Sep 30 16:36:09 +0000 2022|['BREAKING', 'hurricaneian']||1|1|https://twitter.com/WeatherMAXTV/status/1575887234502660096|['break', 'weathermax', 'network', 'forecast', 'say', 'hurricaneian', 'expect', 'make', 'landfal', 'pm', 'et', 'right', 'near', 'georgetown', 'south', 'carolina', 'offic', 'news', 'forecast', 'watch']
doc_1893|1575887227779174401|Still no power here in the ‘view but we are safe. Showered at the gym and it was a top-5 shower. Hopefully it’s back on later today. People have it way worse than we do, so keep them in mind. #HurricaneIan|MattCharles21|Fri Sep 30 16:36:08 +0000 2022|['HurricaneIan']||1|0|https://twitter.com/MattCharles21/status/1575887227779174401|['still', 'power', 'view', 'safe', 'shower', 'gym', 'shower', 'hope', 'back', 'later', 'today', 'peopl', 'way', 'wors', 'keep', 'mind', 'hurricaneian']
doc_1894|1575887199236562944|"Are Cape Coral water distro Stations are open or do they not open until NEXT Tuesday?  (""free potable water at Mariner Middle School and the Northwest Regional Library. Locations are open Tuesday from 4:30pm to 8pm and Wed through Sun 8am - 8pm"")   #CapeCoral #HurricaneIan"|bodhi425|Fri Sep 30 16:36:01 +0000 2022|['CapeCoral', 'HurricaneIan']||1|1|https://twitter.com/bodhi425/status/1575887199236562944|['cape', 'coral', 'water', 'distro', 'station', 'open', 'open', 'next', 'tuesday', 'free', 'potabl', 'water', 'marin', 'middl', 'school', 'northwest', 'region', 'librari', 'locat', 'open', 'tuesday', 'wed', 'sun', 'capecor', 'hurricaneian']
doc_1895|1575887197500121090|Before and after. This is why “real Floridians” evacuate. #HurricaneIan https://t.co/NDwhEjT5TD|nhIdebrincat|Fri Sep 30 16:36:01 +0000 2022|['HurricaneIan']||2|0|https://twitter.com/nhIdebrincat/status/1575887197500121090|['real', 'floridian', 'evacu', 'hurricaneian']
doc_1896|1575887137282707465|"#HurricaneIan over #Florida yesterday, Sept. 29 in this impressive #Copernicus #Sentinel3 image captured at 15,40 UTC, the first after the landfall. 
The #TropicalStormIan has grown again as a category 1 #Hurricane. #IanHurricane #Flwx #ClimateEmergency 
@DavePuglisiTV @ai6yrham https://t.co/yVzsPCa1ux"|PlatformAdam|Fri Sep 30 16:35:46 +0000 2022|['HurricaneIan', 'Florida', 'Copernicus', 'Sentinel3', 'TropicalStormIan', 'Hurricane', 'IanHurricane', 'Flwx', 'ClimateEmergency']|['DavePuglisiTV', 'ai6yrham']|19|8|https://twitter.com/PlatformAdam/status/1575887137282707465|['hurricaneian', 'florida', 'yesterday', 'impress', 'copernicu', 'imag', 'captur', 'utc', 'first', 'landfal', 'tropicalstormian', 'grown', 'categori', 'hurrican', 'ianhurrican', 'flwx', 'climateemerg', 'davepuglisitv']
doc_1897|1575887087974260745|"@SenRickScott JUST IN VIDEO, Aerials of Fort Myers, Cape Coral, Bonita Springs, Sanibel after Hurricane Ian,
#HurricaneIan #Ian 

https://t.co/dPJoHoWJDQ"|newsperson998|Fri Sep 30 16:35:34 +0000 2022|['HurricaneIan', 'Ian']|['SenRickScott']|1|1|https://twitter.com/newsperson998/status/1575887087974260745|['senrickscott', 'video', 'aerial', 'fort', 'myer', 'cape', 'coral', 'bonita', 'spring', 'sanibel', 'hurrican', 'ian', 'hurricaneian', 'ian']
